Name,Title,Project Number,Original,Revision,Original Summary Statements,Resub Summary Statements,Original Project Narrative,Original Project Summary (Abstract),Original References,Original Personnel,Original Facilities/ Other Resources,Original Equipment,Original Biosketch,Original Collabor-ator Biosketch,Original Budget,Original Budget Justification,Original Letter(s) of Support,Original Environment,Original Specific Aims,Original Research Strategy,Original Human Subjects,Original Women/ Minorities,Original Children,Original Planned Enrollment,Original Vertebrate Animals,Original Resource Sharing Plan,Original Multi-PI Leadership Plan,Original Consortium and Contract,Original R61 Go/No-Go and R33 Spec. Aims,Introduction,Resub Project Summary,Resub References,Resub Personnel,Resub Facilities/ Other Resources,Resub Equipment,Resub Biosketch,Resub Collabor-ator Biosketch,Resub Budget,Resub Budget Justification,Resub Letter of Support,Resub Environment,Resub Specific Aims,Resub Research Strategy,Resub Human Subjects,Resub Women/ Minorities,Resub Children,Resub Planned Enrollment,Resub Vertebrate Animals,Resub Resource Sharing Plan,,,,,,,,,,
"Andl, T",The role of microRNA miR-31 in skin biology,1R01AR061474-01,Y,,Y,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer, K",Cognitive-Behavioral Based Physical Therapy: Improving Surgical Spine Outcomes,1R21AR062880-01,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aune, TM",IFN-Gamma Gene Regulation in T Cells and NK Cells,2R01AI044924-09A1,Y,Y,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Aune, TM",LncRNAs Tether Transcription Facotrs to Enable Locus-specific Regulation and Sustain Memory T cell Phenotype,1R21AI239392-01A1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,,Y,,,,Y,Y,Y,Y,Y,y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,
"Austin, ED",Estrogen signaling and energy metabolism in pulmonary arterial hypertension,1R01HL134802-01A1,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Barkin, S",Adaptation of A Prevention-Treatment (ADAPT) Program: Reducing Cancer Risk for Families with Young Children,1R21CA197344-01,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barth, EJ",Curing Epilepsy with a Needle,1R21NS091735-01,Y,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastarache J,Free Hemoglobin Potentiates Pulmonary Vascular Dysfunction in Acute Lung Injury,1R21HL117676-01,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biaggioni, I",Splanchnic Circulation and Blood Pressure Regulation,1R01HL122847-01A1,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,
"Billings, FT","Hyper-oxygenation, oxidative stress, and kidney injury following cardiac surgery",1R01GM112871-01,Y,,Y,,,,Y,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birdee, GS",Breathing Interventions for Relaxation: Dosing through Extended Exhale,1R61AT009340-01,Y,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blackford, JU",BNST Neurocircuitry in PTSD,1R21MH106998-01,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brittain, EL",A Mobile Health Intervention in Pulmonary Arterial Hypertension,1R34HL136989-01,Y,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bruehl, S",Reduced Opioid Analgesic Requirements Via Improved Endogenous Opioid Function,1R01DA037891-01A1,Y,Y,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Bruehl, S",Predictors of Opioid Analgesic Responses and Common Endogenous Opioid Mechanisms,1R01DA031726-01,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carneiro, AM",Regulation of the Serotonin Transporter Function by Integrins in the Mouse Brain,1R01MH090256-01A1,,Y,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carroll, KN",Pregnancy Folate Status & Early Childhood Respiratory & Atopic Disease Outcomes,1R01HL109977-01,Y,,Y,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casagrande, VA",Structural and functional divisions of the primate pulvinar,1R01EY025422-01,Y,,Y,,Y,Y,Y,,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cascio, CJ",Peripersonal space representation as a basis for social deficits in autism and schizophrenia,1R21MH109225-01,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cassat, JE",The Impact of Hypoxia on Staphylococcus aureus Metabolism and Virulence during Osteomyelitis,1R01AI132560-01,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavanaugh, K",Determining Key Organizational Health Communication Practices in Complex Patients,1R01DK103935-01A1,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
"Cavanaugh, K",Facilitating Anemia Treatment Risk Communication for Patients with Kidney Disease,1R03DK093852-01,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"de Caestecker, MP",Mutation Specific Therapies in Patients with HPAH,1R03HL115112-01,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeBaun, MR",Phase 2 Study of Montelukast for the Treatment of Sickle Cell Anemia,1R01FD004117-01A1,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
"DeBaun, MR",Primary prevention of stroke in children with SCD in Sub-Saharan Africa II,1R01NS094041-01,Y,,,,Y,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elefteriou, F",Role of Sympathetic Activation and RANKL/IL6 in Breast Cancer Bone Metastasis,1R01CA168717-01A1,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ess, KC",Regulation of Neurogenesis in TSC by mTORC1 and mTORC2,1R01NS078289-01A1,Y,Y,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
France DJ and Blakely ML,The Impact of Non-Routine Events on Neonatal Safety in the Perioperative Environment,1R01HD086792-01,Y,,Y,,,Y,Y,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaddy JA and Aronoff DM,Determining the contribution of zinc deficiency to perinatal Group B Streptococcus infections,1R01HD090061-01A1,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,
"Gannon, MA",Foxm 1b endocrine pancreas growth and regeneration,1R01DK071052-01A1,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Georgiev, I",Neutralization fingerprinting analysis of polyclonal antibody responses against HIV-1,1R01AI131722-01A1,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y+A28:AE28,Y,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Gewin, LS",TGF-beta Pathways that Protect Epithelia in Chronic Renal Injury,1R01DK108968-01,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gomez, O",Studies on Emergent Diarrheagenic E. coli Pathogens,1R01AI095346-01A1,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
"Gordon, RL",Rhythm in Atypical Language Development: Mechanisms and Individual Differences,1R03DC014802-01,Y,,Y,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grogan, EL",Regional Variation of FDG-PET Scans to diagnose lung cancer,1R03HS021554-01,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guzman, RJ",Role of Arterial Calcification in Restenosis,1R01HL105641-01,Y,,Y,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamid, R",Role of BMPR2 expression in HPAH; implications for novel therapeutic approaches,1R01HL102020-01A1,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
"Harrison, DG",The Role of The T Cell In The Genesis of Hypertension,1R01HL125865-01,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hemnes, AR",Lipid Deposition in the Right Ventricle in Pulmonary Arterial Hypertension,1R01HL122417-01A1,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
"Ho, RH",Hepatic OATP Drug Transporters and Chemotherapy Disposition,1R01GM099924-01A1,Y,Y,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
"Hughes, C",Role of Endothelial and Brain Injury in Acute and Long-term Brain Dysfunction,1R03AG045085-01A1,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,
"Hughey, J",A Multi-scale Approach to the Mammalian Circadian System and Its Role in Human Health and Disease,1R35GM124685-01,Y,,Y,,,,Y,,,,,,,,,,"Y (R35s have themes, not aims)",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, GP",Personal Health Information Needs and Practices for Maternal Fetal Care,1R01HS021496-01A1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,y,Y,Y,Y,,,,Y,Y,,,,,,,,,
"Johnson, CH",Regulation and Significance of Sustained Circadian Oscillations,1R01GM107434-01,Y,,,,Y,Y,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan, LC",MRI-based Quantitative Brain Oxygen Metabolism Identifying High Risk of Infarct Recurrence in Sickle Cell Anemia,1R01NS096127-01,Y,,Y,,,,Y,,Y,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kannankeril, PJ",Flecainide for catecholaminergic polymorphic ventricular tachycardia,1R01HL108173-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kendall, PL",Bruton's Tyrosine Kinase and Immune Tolerance in Type 1 Diabetes,1R01DK084246-01A2,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Kenworthy, AK",Function and assembly of toxin-stabilized domains,1R01GM106720-01,Y,,Y,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kipp, AM",Characterizing non-medical prescription opioid use and pain in people living with HIV,1R03DA039743-01,Y,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labadie, RF",Clinical Validation and Testing of Percutaneous Cochlear Implantation,1R01DC008408-01A1,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,,,,
"Lawson, WE",Regulation of Fibrotic Remodeling by the Alveolar Epithelium,1R01HL105479-01A1,Y,Y,Y,Y,,,Y,,,,,,,,,Y,Y,,,,,,,,,,Y,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
"Lee, E",Role of ubiquitination in the Wnt pathway,1R01GM103926-01,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, E",Regulation of beta-catenin degradation during Wnt signal transduction,2R01GM081635-06A1,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loyd, JE",Caveolar Defects Underlie the Genetic Origins of PAH,1R01HL111259-01,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, DM",Molecular regulation of dendrite morphogenesis,1R01NS079611-01A1,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,
"Miller, DM",Molelcular determinants of synaptic plasticity,1R01NS081259-01A1,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,Y,,,,,Y,,,,,Y,Y,Y,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,
"Moore, DJ",Restoration of Immune Tolerance in Type 1 Diabetes,1R03DK097410-01,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morgan, VL",MRI Structural and Functional Connectivity Changes in Temporal Lobe Epilepsy,1R01NS075270-01A1,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murff, HJ","Fatty acid desaturase activity, fish oil and colorectal cancer chemoprevention",1R01CA160938-01,Y,,Y,,Y,Y,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nechuta, SJ",Modifiable Lifestyle-Related Factors and Triple Negative Breast Cancer Prognosis,1R03CA171013-01,Y,,Y,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nyman, JS",The Roles of Collagen and Water in the Fracture Resistance of Bone,1R01AR063157-01,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Page-McCaw, AW",WNT/WG Extracellular Ligand Distribution and Regulation,1R01GM117899-01,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Page-McCaw, AW",MMP regulation of stem cell proliferation in the Drosophila ovary,1R03HD074834-01,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Page-McCaw, AW",FlpOn: an optogenetic circuit for user-designed mosaics and its application to wound healing,1R21AR068933-01,Y,,Y,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paria, BC",Hamster: A Unique Model for Studying Implantation,R01HD044741-06A2,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Patel, S",Substrate-selective inhibition of COX-2 to target affective disorders,1R01MH100096-01,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penson, DF","Race, Comorbidity & Long Term Prostate Cancer Outcomes",1R01CA114524-01A2,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penson, DF",Comparative Effectiveness of Treatments for Localized Prostate Cancer,1R01HS019356-01,Y,,Y,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petit, A",Multi-level Social and Behavioral Determinants of Health and Missed HIV Healthcare Provider Visits,1R01MH113438-01A1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,
"Raj, SR",Aldosterone and Sodium Regulation in Postural Tachycardia Syndrome,1R01HL102387-01A1,Y,Y,Y,Y,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,Y,,Y,,,,,,,,,,Y,Y,Y,Y,,Y,,,,,,,,,,,,
"Reese, JJ",Detecting biochemical changes in the pregnant mouse cervix by Raman spectroscopy,1R01HD081121-01,Y,,Y,,Y,Y,Y,,,,,,,,Y,Y,Y,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roden, DM",SCN5A mutations and dilated cardiomyopathy,1R01HL118952-01A1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,,
"Roden, DM",Modulation of Cardiac Repolarization,2R01HL049989-18A1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,,
"Sanders, CR",Cholesterol and the Amyloid Precursor Protein,1R01GM106672-01,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schneider, C",Pharmacokinetics and Metabolism of Oxidized Curcumin,1R03CA159382-01A1,y,Y,Y,Y,,,Y,,,,,,,,,Y,Y,,,,,Y,,,,,,,Y,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,
"Sherwood, ER",Augmentation of Innate Anti-Microbial Immunity by TLR4 Agonists,1R01GM104306-01 (MPI),Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sherwood, ER",Resistance of Beta 2 Microglobulin Null Mice to Sepsis,2R01GM066885-11,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skala, MC",Cellular-level Optical Metabolic Imaging to Predict Drug Response in Cancer,1R01CA185747-01A1,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Storrow, AB",Improving Heart Failure Risk Stratification in the ED,1R01HL088459-01,Y,,Y,,,,Y,,Y,,,,,,,,Y,Y,Y,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talbot HK,Effectiveness of the Influenza Vaccine in the Aging Population,1R01AG043419-01,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
